TSIC,Code,Product,Unit,Year,Month,"Begin month
inventory",Production,Domestic,Export,Total,"Shipment value
(thousand baht)","Month-end 
inventory",Capacity
10802,010,Ready made pig feed,ton,2000,1,"3,926","39,646","39,757",0,"39,757","310,066","5,948","54,522"
10802,010,Ready made pig feed,ton,2000,2,"5,948","37,873","38,888",0,"38,888","318,895","4,942","53,119"
10802,010,Ready made pig feed,ton,2000,3,"4,942","39,109","38,850",0,"38,850","322,827","6,016","53,870"
10802,010,Ready made pig feed,ton,2000,4,"6,016","34,976","35,833",0,"35,833","298,395","5,660","51,732"
10802,010,Ready made pig feed,ton,2000,5,"5,660","38,759","39,687",0,"39,687","334,404","5,890","56,332"
10802,010,Ready made pig feed,ton,2000,6,"9,851","53,882","55,679",0,"55,679","486,183","8,015","86,884"
10802,010,Ready made pig feed,ton,2000,7,"8,015","58,351","58,667",0,"58,667","513,702","8,201","89,120"
10802,010,Ready made pig feed,ton,2000,8,"8,201","62,484","61,421",0,"61,421","535,927","9,388","86,945"
10802,010,Ready made pig feed,ton,2000,9,"9,470","63,701","64,389",0,"64,389","554,762","9,192","92,231"
10802,010,Ready made pig feed,ton,2000,10,"9,192","61,469","63,009",0,"63,009","538,588","7,899","92,672"
10802,010,Ready made pig feed,ton,2000,11,"7,899","62,099","62,299",0,"62,299","541,500","8,181","89,965"
10802,010,Ready made pig feed,ton,2000,12,"8,181","65,739","66,370",0,"66,370","577,214","8,388","94,926"
10802,010,Ready made pig feed,ton,2001,1,"8,388","62,627","62,777",0,"62,777","561,137","8,731","99,314"
10802,010,Ready made pig feed,ton,2001,2,"8,731","57,957","57,798",0,"57,798","520,230","9,048","99,963"
10802,010,Ready made pig feed,ton,2001,3,"9,048","64,946","64,368",0,"64,368","587,323","9,133","100,436"
10802,010,Ready made pig feed,ton,2001,4,"9,133","60,661","60,498",0,"60,498","542,575","9,727","107,893"
10802,010,Ready made pig feed,ton,2001,5,"9,727","63,827","66,238",0,"66,238","607,858","8,088","100,329"
10802,010,Ready made pig feed,ton,2001,6,"8,088","67,248","65,330",0,"65,330","598,278","9,173","103,061"
10802,010,Ready made pig feed,ton,2001,7,"9,173","67,961","67,958",0,"67,958","617,573","9,106","101,953"
10802,010,Ready made pig feed,ton,2001,8,"9,106","71,309","70,969",0,"70,969","641,496","9,206","102,132"
10802,010,Ready made pig feed,ton,2001,9,"9,206","68,245","68,129",0,"68,129","617,702","9,016","103,165"
10802,010,Ready made pig feed,ton,2001,10,"9,016","70,402","70,134",0,"70,134","610,038","8,795","102,003"
10802,010,Ready made pig feed,ton,2001,11,"8,795","69,235","68,464",0,"68,464","610,561","8,585","103,217"
10802,010,Ready made pig feed,ton,2001,12,"8,585","72,105","70,577",0,"70,577","630,833","9,895","103,170"
10802,010,Ready made pig feed,ton,2002,1,"9,895","70,126","70,766",0,"70,766","597,477","9,586","101,148"
10802,010,Ready made pig feed,ton,2002,2,"9,586","63,181","63,349",0,"63,349","556,567","9,148","107,064"
10802,010,Ready made pig feed,ton,2002,3,"9,148","72,279","71,176",0,"71,176","640,064","10,502","100,065"
10802,010,Ready made pig feed,ton,2002,4,"10,502","66,010","67,561",0,"67,561","610,143","9,418","95,853"
10802,010,Ready made pig feed,ton,2002,5,"9,418","72,305","71,250",0,"71,250","629,972","10,161","99,469"
10802,010,Ready made pig feed,ton,2002,6,"10,161","70,433","70,121",0,"70,121","640,785","10,995","102,051"
10802,010,Ready made pig feed,ton,2002,7,"10,995","73,153","76,655",0,"76,655","693,664","8,041","104,022"
10802,010,Ready made pig feed,ton,2002,8,"8,041","81,708","80,233",0,"80,233","725,261","10,912","109,573"
10802,010,Ready made pig feed,ton,2002,9,"10,912","74,158","78,253",0,"78,253","696,231","9,784","107,680"
10802,010,Ready made pig feed,ton,2002,10,"10,051","84,003","87,474",0,"87,474","774,407","10,494","121,256"
10802,010,Ready made pig feed,ton,2002,11,"10,494","82,840","86,265",0,"86,265","759,575","10,516","120,866"
10802,010,Ready made pig feed,ton,2002,12,"10,516","84,487","88,341",0,"88,341","778,585","10,880","120,521"
10802,010,Ready made pig feed,ton,2003,1,"11,064","85,185","89,167",0,"89,167","793,634","10,446","114,758"
10802,010,Ready made pig feed,ton,2003,2,"10,446","78,196","80,476",0,"80,476","707,931","10,354","116,050"
10802,010,Ready made pig feed,ton,2003,3,"10,354","78,398","80,294",0,"80,294","719,673","11,155","115,237"
10802,010,Ready made pig feed,ton,2003,4,"11,155","78,575","80,372",0,"80,372","712,441","11,462","117,508"
